S.No,Name of BC,Contact Number,Gender,Bank Name,State,District ,Office Name,Pincode,Corporate BC name,ODOP product,CODE WORD OF PRODUCT LIST,CROP2 NAME,CROP2 SEASON,CROP1 AREA,CROP1 PRODUCTION,CROP1 Pincode,CROP1 NAME,SEASON,CROP AREA,CROP PRODUCTION,CROP3 NAME,SEASON,CROP AREA,CROP PRODUCTION
2746,Aishwarya Dipakrao Wankhede,6575047598,male,Jammu & Kashmir Bank,Jammu and Kashmir,JAMMU,Bari Brahmna Icomplex SO,181133,Disha India Microcredit,Basmati Rice,Jammu%Jammu & Kashmir,Rice,Kharif,Kharif,116969,181133,Rice,Winter,276000,623000,Wheat,Rabi,90522,224042
2747,Abhishek Gajanan Wankhede,8289985933,female,Bank of Maharashtra,Bihar,VAISHALI,Akhtiyarpur Paterha BO,844125,Drishtee Development and Communication Ltd.,"Sujni Embroidery,Banana,Honey",Vaishali%Bihar,Wheat,Rabi,Rabi,93816,844125,Rice,Winter,276000,623000,Wheat,Rabi,90522,224042
2748,Shubham Jagatlal Tichkule,8252137256,male,Canara Bank,Himachal Pradesh,KANGRA,Dadh BO,176052,DRU Gold Private Limited,"Tea - Kangra,Paintings- Kangra",Kangra%Himachal Pradesh,Rice,Rabi,Rabi,15516,176052,Rice,Summer,4005,14518,Rice,Kharif,2942,10041
2749,Sashirekha Patra,2296247794,female,Central Bank of India,Himachal Pradesh,HAMIRPURHP,Aman BO,177501,DVARA KSHETRIYA GRAMIN FINANCIAL SERVICES PVT,"Agro-products processing,Shoes",Hamirpur%Himachal Pradesh,Rice,Rabi,Rabi,15516,177501,Rice,Summer,4005,14518,Rice,Kharif,2942,10041
2750,Chavi Vashist,7447328063,male,Indian Bank,Bihar,MUZAFFARPUR,Bedaul Asli BO,843116,E-GRAMIN SERVICES PVT LTD,"Shahi Litchi,Sujini Embroidery,Bags & Garments",Muzaffarpur%Bihar,Rice,Winter,Winter,215461,843116,Sunflower,Rabi,6,9,Wheat,Rabi,90522,224042
2751,Pallabi  Biswas,3610869620,female,Indian Overseas Bank,Himachal Pradesh,MANDI,Badhu BO,175045,Earth More Private Limited,Steel Furniture,Mandi%Himachal Pradesh,Rice,Rabi,Rabi,15516,175045,Rice,Summer,4005,14518,Rice,Kharif,2942,10041
2752,Varambath Biju Vishnu,9257906027,male,Punjab and Sind Bank,Himachal Pradesh,KANGRA,Bari BO,176502,Easy Homes Finance Limited,"Tea - Kangra,Paintings- Kangra",Kangra%Himachal Pradesh,Rice,Rabi,Rabi,15516,176502,Rice,Summer,4005,14518,Rice,Kharif,2942,10041
2753,Nikhita N Shegunshi,3011036643,female,Punjab National Bank,Bihar,MUZAFFARPUR,BBaghnagari BO,843105,EASY PAY PVT  LTD.,"Shahi Litchi,Sujini Embroidery,Bags & Garments",Muzaffarpur%Bihar,Rice,Winter,Winter,215461,843105,Sunflower,Rabi,6,9,Wheat,Rabi,90522,224042
2754,Sunny Uttamrao Kute,4559363035,male,State Bank of India,Himachal Pradesh,MANDI,Brokhari BO,175031,Ecartes Technology Pvt.Ltd.,Steel Furniture,Mandi%Himachal Pradesh,Rice,Rabi,Rabi,15516,175031,Rice,Summer,4005,14518,Rice,Kharif,2942,10041
2755,Mayuri rohit Rane,5902345710,female,UCO Bank,Himachal Pradesh,CHAMBA,Charori BO,176319,EDUCATE SKILL AND WORK INDIA,Chamba Rumal,Chamba%Himachal Pradesh,Rice,Kharif,Kharif,802349,176319,Khesari,Rabi,13312,15184,Wheat,Rabi,2074,3540
2756,Rajat  Raj,7757739724,male,Jammu & Kashmir Bank,Jammu and Kashmir,UDHAMPUR,Basantgarh BO,182128,EKO INDIA FINANCIAL SERVICES PRIVATE LIMITED,Garlic,Udhampur%Jammu & Kashmir,Maize,Kharif,Kharif,55768,182128,Other Cereals & Millets,Kharif,1,0.4,Wheat,Rabi,90522,224042
2757,Kolakaluri Mercy Kiranmai,4075287776,female,Jammu & Kashmir Bank,Jammu and Kashmir,SAMBA,Abtal BO,181141,eKOSH FINANCIAL SERVICES PVT LTD,Mushroom,Samba%Jammu & Kashmir,Rice,Kharif,Kharif,15145,181141,Rice,Winter,276000,623000,Wheat,Rabi,90522,224042
2758,Sahil Riyazuddin Khan,7304194099,female,Bandhan Bank,Bihar,VAISHALI,Adalpur BO,844126,EQUITY CAPITAL ADVISORS (INDIA) PRIVATE LIMITED,"Sujni Embroidery,Banana,Honey",Vaishali%Bihar,Wheat,Rabi,Rabi,93816,844126,Rice,Winter,276000,623000,Wheat,Rabi,90522,224042
2759,Himanshu   Jain,3095631503,male,CSB Bank,Himachal Pradesh,KANGRA,Fatehpur SO Kangra,176053,ESAF Swasraya Multi-State Agro co-operative Society,"Tea - Kangra,Paintings- Kangra",Kangra%Himachal Pradesh,Rice,Rabi,Rabi,15516,176053,Rice,Summer,4005,14518,Rice,Kharif,2942,10041
2760,Prince  Kumar,6602711802,male,City Union Bank,Himachal Pradesh,HAMIRPURHP,Awah Devi SO,177601,EVER GREEN FORUM,"Agro-products processing,Shoes",Hamirpur%Himachal Pradesh,Rice,Rabi,Rabi,15516,177601,Rice,Summer,4005,14518,Rice,Kharif,2942,10041
2761,Rana rohit Kumar,8509058183,female,CSB Bank,Uttar Pradesh,HAMIRPUR,Baswari BO,210506,Janmadhaym,"Agro-products processing,Shoes",Hamirpur%Himachal Pradesh,Wheat,Rabi,Rabi,171992,210506,Rice,Winter,325501,794541,Wheat,Rabi,90522,224042
2762,Neeti  Verma,1919422722,female,Jammu & Kashmir Bank,Jammu and Kashmir,UDHAMPUR,Bain BO,182141,EVERGREEN DEVELOPMENT SOCIETY AND LIBRARY,Garlic,Udhampur%Jammu & Kashmir,Maize,Kharif,Kharif,55768,182141,Other Cereals & Millets,Kharif,1,0.4,Wheat,Rabi,90522,224042
2763,Shubham Paul,4172981600,female,Jammu & Kashmir Bank,Jammu and Kashmir,JAMMU,Gurah Salathia SO,181143,Evergreen Proserv,Basmati Rice,Jammu%Jammu & Kashmir,Rice,Kharif,Kharif,116969,181143,Rice,Winter,276000,623000,Wheat,Rabi,90522,224042
2764,Ambika Tewary,3293799274,male,Federal Bank,Bihar,MUZAFFARPUR,Basauli BO,844127,Exclusive Leasing and Finance Pvt.Ltd.,"Shahi Litchi,Sujini Embroidery,Bags & Garments",Muzaffarpur%Bihar,Rice,Winter,Winter,215461,844127,Sunflower,Rabi,6,9,Wheat,Rabi,90522,224042
2765,Safijul Hoque,1038747921,male,HDFC Bank,Himachal Pradesh,KANGRA,Airla BO,176054,FAB N MORE,"Tea - Kangra,Paintings- Kangra",Kangra%Himachal Pradesh,Rice,Rabi,Rabi,15516,176054,Rice,Summer,4005,14518,Rice,Kharif,2942,10041
2766,Dhriti Kinkor Goswami,9252853911,male,Jammu & Kashmir Bank,Jammu and Kashmir,JAMMU,Bakshinagar SO,180001,FABLE O ENTERPRISES,Basmati Rice,Jammu%Jammu & Kashmir,Rice,Kharif,Kharif,116969,180001,Rice,Winter,276000,623000,Wheat,Rabi,90522,224042
2767,Somita Tirki,8624112335,male,Jammu & Kashmir Bank,Jammu and Kashmir,UDHAMPUR,Karlah BO,182142,FAIRLANDS TECHNOLOGY SERVICES PRIVATE LIMITED,Garlic,Udhampur%Jammu & Kashmir,Maize,Kharif,Kharif,55768,182142,Other Cereals & Millets,Kharif,1,0.4,Wheat,Rabi,90522,224042
2768,Medini Bura Gohain,1906513182,female,Jammu & Kashmir Bank,Jammu and Kashmir,JAMMU,Khara Madana BO,181145,FENEXA TECHNOLOGY PRIVATE LIMITED,Basmati Rice,Jammu%Jammu & Kashmir,Rice,Kharif,Kharif,116969,181145,Rice,Winter,276000,623000,Wheat,Rabi,90522,224042
2769,Kasturi Hazarika,8553077757,female,Karur Vysya Bank,Bihar,VAISHALI,Chakramdas BO,844128,FIA Technology Services Pvt. Ltd,"Sujni Embroidery,Banana,Honey",Vaishali%Bihar,Wheat,Rabi,Rabi,93816,844128,Rice,Winter,276000,623000,Wheat,Rabi,90522,224042
2770,Chumi Das,6787798920,female,Kotak Mahindra Bank,Himachal Pradesh,KANGRA,Barikalan BO,176055,Financial Software and Systems Pvt Ltd,"Tea - Kangra,Paintings- Kangra",Kangra%Himachal Pradesh,Rice,Rabi,Rabi,15516,176055,Rice,Summer,4005,14518,Rice,Kharif,2942,10041
2771,Nayanjyoti Payeng,7914351808,male,Jammu & Kashmir Bank,Jammu and Kashmir,JAMMU,Akalpur BO,180002,FINMAP Solutions Private Limited,Basmati Rice,Jammu%Jammu & Kashmir,Rice,Kharif,Kharif,116969,180002,Rice,Winter,276000,623000,Wheat,Rabi,90522,224042
2772,Parishmita Kalita,4577059645,male,Jammu & Kashmir Bank,Jammu and Kashmir,RAMBAN,Assar BO,182143,Finnable Technologies Pvt. Ltd. & Finnable Credit Pvt. Ltd.,Honey,Ramban%Jammu & Kashmir,Maize,Kharif,Kharif,12941,182143,Rice,Winter,276000,623000,Wheat,Rabi,90522,224042
2773,Sumana Das,1560623291,female,Jammu & Kashmir Bank,Jammu and Kashmir,JAMMU,Bathindi SO,181152,FINO Payment Bank,Basmati Rice,Jammu%Jammu & Kashmir,Rice,Kharif,Kharif,116969,181152,Rice,Winter,276000,623000,Wheat,Rabi,90522,224042
2774,Sanjana Chowdhury,7844083306,female,Bank of Baroda,Bihar,VAISHALI,Basudeopur Chandel SO,844501,Finserin Online Services Private Limited,"Sujni Embroidery,Banana,Honey",Vaishali%Bihar,Wheat,Rabi,Rabi,93816,844501,Rice,Winter,276000,623000,Wheat,Rabi,90522,224042
2775,Kshitij Swarnkar,1071138577,male,Bank of India,Himachal Pradesh,KANGRA,Chhughera BO,176056,Finsigma Inclusive Services Pvt Ltd,"Tea - Kangra,Paintings- Kangra",Kangra%Himachal Pradesh,Rice,Rabi,Rabi,15516,176056,Rice,Summer,4005,14518,Rice,Kharif,2942,10041
2776,Khushboo Yadav,3252533027,female,Jammu & Kashmir Bank,Jammu and Kashmir,JAMMU,Industrial Estate SO Jammu,180003,FOUR LEAF CLOVER AGRO PRIVATE LIMITED,Basmati Rice,Jammu%Jammu & Kashmir,Rice,Kharif,Kharif,116969,180003,Rice,Winter,276000,623000,Wheat,Rabi,90522,224042
2777,Gunjan Yadav,1352311849,male,Jammu & Kashmir Bank,Jammu and Kashmir,RAMBAN,Bhatni BO,182144,Fourth Dimension Solutions Limited,Honey,Ramban%Jammu & Kashmir,Maize,Kharif,Kharif,12941,182144,Rice,Winter,276000,623000,Wheat,Rabi,90522,224042
2778,Himanshu Gautam,1837894002,male,Jammu & Kashmir Bank,Jammu and Kashmir,JAMMU,Akhnoor SO,181201,G U FINANCIAL SERVICES PRIVATE LIMITED,Basmati Rice,Jammu%Jammu & Kashmir,Rice,Kharif,Kharif,116969,181201,Rice,Winter,276000,623000,Wheat,Rabi,90522,224042
2779,Sunny Singh,5950527076,male,Indian Bank,Bihar,VAISHALI,Bahuara BO,844502,GANPATI FINANCIAL SERVICES,"Sujni Embroidery,Banana,Honey",Vaishali%Bihar,Wheat,Rabi,Rabi,93816,844502,Rice,Winter,276000,623000,Wheat,Rabi,90522,224042
2780,Diksha Gupta,5131570192,male,Indian Overseas Bank,Himachal Pradesh,KANGRA,Dari SO,176057,Genesis Academy of Banking and Finance Education Trust,"Tea - Kangra,Paintings- Kangra",Kangra%Himachal Pradesh,Rice,Rabi,Rabi,15516,176057,Rice,Summer,4005,14518,Rice,Kharif,2942,10041
2781,Prity Sinha,4461466226,female,Jammu & Kashmir Bank,Jammu and Kashmir,JAMMU,Gandhinagar HO,180004,GEOSANSAR ADIVSORS PRIVATE LIMITED,Basmati Rice,Jammu%Jammu & Kashmir,Rice,Kharif,Kharif,116969,180004,Rice,Winter,276000,623000,Wheat,Rabi,90522,224042
2782,Siddharth Vijay Waghmare,9439601294,male,Jammu & Kashmir Bank,Jammu and Kashmir,RAMBAN,Alambas BO,182145,GIONEX TECHNOLOGIES PRIVATE LIMITED,Honey,Ramban%Jammu & Kashmir,Maize,Kharif,Kharif,12941,182145,Rice,Winter,325501,794541,Wheat,Rabi,90522,224042
2783,Prashant  Ranjan,7334736560,female,Jammu & Kashmir Bank,Jammu and Kashmir,JAMMU,Bakore BO,181202,Global Vikas Trust,Basmati Rice,Jammu%Jammu & Kashmir,Rice,Kharif,Kharif,116969,181202,Rice,Winter,325501,794541,Wheat,Rabi,90522,224042
2784,Babu   Lal,7960287362,male,UCO Bank,Bihar,VAISHALI,Bajitpur Saidat BO,844503,Go Processing Limited,"Sujni Embroidery,Banana,Honey",Vaishali%Bihar,Wheat,Rabi,Rabi,93816,844503,Rice,Winter,325501,794541,Wheat,Rabi,90522,224042
2785,Sujitha  S,7232896069,male,Union Bank of India,Himachal Pradesh,KANGRA,Agahar BO,176058,GODDARD technical solutions,"Tea - Kangra,Paintings- Kangra",Kangra%Himachal Pradesh,Rice,Rabi,Rabi,15516,176058,Rice,Summer,4005,14518,Rice,Kharif,2942,10041
2786,Chhaya Bhavaniram Nandmaher,6057074143,male,Jammu & Kashmir Bank,Jammu and Kashmir,JAMMU,Karan Nagar SO Jammu,180005,GOPALGANJ PIONEER WELFARE SOCIETY,Basmati Rice,Jammu%Jammu & Kashmir,Rice,Kharif,Kharif,116969,180005,Rice,Winter,325501,794541,Wheat,Rabi,90522,224042
2787,Hariom    Sharma,4559061827,male,Jammu & Kashmir Bank,Jammu and Kashmir,RAMBAN,Banihal SO,182146,Gram Tarang Inclusive Development Services Pvt Ltd.,Honey,Ramban%Jammu & Kashmir,Maize,Kharif,Kharif,12941,182146,Rice,Winter,325501,794541,Wheat,Rabi,90522,224042
2788,Govind Kumar Rai,2419290213,male,Jammu & Kashmir Bank,Jammu and Kashmir,DODA,Dhandal BO,182147,Grameen Development & Finance Pvt. Ltd,Natural Oils (Lavender),Doda%Jammu & Kashmir,Maize,Kharif,Kharif,28397,182147,Rice,Winter,325501,794541,Wheat,Rabi,90522,224042
2789,Khushhal Saini,6085890115,female,City Union Bank,Odisha,GANJAM,Dhumchai B.O,761140,GRAMEEN SHAKTI MICROFINANCE SERVICES PVT. LTD.,"Handloom,Cashew,Granite Slab",Ganjam%Odisha,Rice,Winter,Winter,715000,761140,Maize,Winter,1,4.6,Wheat,Rabi,90522,224042
2790,Monika Sharma,9778837099,female,Jammu & Kashmir Bank,Jammu and Kashmir,DODA,Aftee BO,182205,Green Malabar Finance Ventures Limited,Natural Oils (Lavender),Doda%Jammu & Kashmir,Maize,Kharif,Kharif,28397,182205,Rice,Winter,325501,794541,Wheat,Rabi,90522,224042
2791,Anurag  Singh,1989932701,male,Dhanlaxmi Bank,Odisha,GAJAPATI,B.Sitapur B.O,761201,GRG ATM PVT LTD,"Cashew Carnel,Granite Slab,Turmeric Oil",Gajapati%Odisha,Rice,Winter,Winter,55000,761201,Ragi,Winter,11,8.1,Wheat,Rabi,90522,224042
2792,Sandhya  Saini,8360776584,male,Jammu & Kashmir Bank,Jammu and Kashmir,SRINAGAR,Honipora BO,192121,Gujarat Infotech Limited,"Hand Knotted Carpet,Papier mache,Walnut wood carving",Srinagar%Jammu & Kashmir,Rice,Kharif,Kharif,11779,192121,Rice,Winter,325501,794541,Wheat,Rabi,90522,224042
2793,Laxmi Kant Yadav,9798637921,male,HDFC Bank,Uttar Pradesh,GAUTAM BUDDHA NAGAR,Sarfabad BO,201307,HARISH PALIWAL,Readymade Garments,Gautam Buddh Nagar%Uttar Pradesh,Wheat,Rabi,Rabi,85909,201307,Rice,Winter,325501,794541,Wheat,Rabi,90522,224042
2794,Ajay Dilip Powar,6036254921,female,ICICI Bank,Uttar Pradesh,MAHOBA,Chhirka BO,210504,Hermes I Tickets Pvt Ltd,Gaura Stone Craft,Mahoba%Uttar Pradesh,Wheat,Rabi,Rabi,67961,210504,Potato,Rabi,84,1895,Onion,Summer,1,15
2795,Rathod Reshma Ishwarbhai,2539890005,female,IndusInd Bank,Odisha,GANJAM,Badagada S.O,761109,Humana Financial Services Private Limited,"Handloom,Cashew,Granite Slab",Ganjam%Odisha,Rice,Winter,Winter,715000,761109,Maize,Winter,1,4.6,Wheat,Rabi,90522,224042
2796,Kamlesh  Jha,3889955116,male,IDFC FIRST Bank,Uttar Pradesh,Aligarh,Aligarh Dairy Farm S.O,202122,I Money Wallet Private Limited,"Lock & Hardware,Metal Handicraft",Aligarh%Uttar Pradesh,Wheat,Rabi,Rabi,546558,202122,Rice,Winter,325501,794541,Wheat,Rabi,90522,224042
2797,Pavan Gautam Jadhav,6615011106,female,Karur Vysya Bank,Odisha,GANJAM,Bangarada B.O,761123,ICICI Merchant Services Pvt Ltd.,"Handloom,Cashew,Granite Slab",Ganjam%Odisha,Rice,Winter,Winter,715000,761123,Maize,Winter,1,4.6,Wheat,Rabi,90522,224042
2798,Vinisha Dagar,4296470121,male,Kotak Mahindra Bank,Uttar Pradesh,ALIGARH,Badhari Bujurg BO,202134,IDFC FIRST Bharat Limited,"Lock & Hardware,Metal Handicraft",Aligarh%Uttar Pradesh,Wheat,Rabi,Rabi,546558,202134,Rice,Winter,325501,794541,Wheat,Rabi,90522,224042
2799,Mahima Jain,4136934387,male,Jammu & Kashmir Bank,Jammu and Kashmir,RAMBAN,Bhartund BO,182148,IFMR Rural Channels and Services Pvt Ltd,Honey,Ramban%Jammu & Kashmir,Maize,Kharif,Kharif,12941,182148,Rice,Winter,325501,794541,Wheat,Rabi,90522,224042
2800,Kapil  Jaiswal,4843769976,female,RBL Bank,Odisha,GANJAM,Badangi B.O,761141,INDE PAY NETWORKS PVT LTD,"Handloom,Cashew,Granite Slab",Ganjam%Odisha,Rice,Winter,Winter,715000,761141,Maize,Winter,1,4.6,Wheat,Rabi,90522,224042
2801,Vyas Darshan Deepak Kumar,5405729416,male,Jammu & Kashmir Bank,Jammu and Kashmir,DODA,Dul Hasti Project SO,182206,INDER MONEY SERVICES PRIVATE LIMITED,Natural Oils (Lavender),Doda%Jammu & Kashmir,Maize,Kharif,Kharif,28397,182206,Rice,Winter,325501,794541,Wheat,Rabi,90522,224042
2802,Aryan  Raj,6017075318,male,Bank of Baroda,Odisha,GAJAPATI,Badigam B.O,761206,India Post Payments Bank,"Cashew Carnel,Granite Slab,Turmeric Oil",Gajapati%Odisha,Rice,Winter,Winter,55000,761206,Ragi,Winter,11,8.1,Wheat,Rabi,90522,224042
2803,Ajay  Singh,8560301378,female,Jammu & Kashmir Bank,Jammu and Kashmir,ANANTHNAG,Anantnag City SO,192122,Indian Rural Area Implementation Services Private Limited,Trout Fish,Anantnag%Jammu & Kashmir,Rice,Kharif,Kharif,19403,192122,Maize,Kharif,11761,13768,Dry chillies,Kharif,113,17.8
2804,Sakshi Rastogi,4134970993,female,Bank of Maharashtra,Uttar Pradesh,GAUTAM BUDDHA NAGAR,Chhajarsi BO,201309,Individual BC,Readymade Garments,Gautam Buddh Nagar%Uttar Pradesh,Wheat,Rabi,Rabi,85909,201309,Rice,Winter,325501,794541,Wheat,Rabi,90522,224042
2805,Pratiksha Shyam Vaity,5765040268,male,Canara Bank,Uttar Pradesh,HAMIRPUR,Bhauli BO,210505,INITIATIVES FOR DEVELOPMENT FOUNDAT,"Agro-products processing,Shoes",Hamirpur%Himachal Pradesh,Wheat,Rabi,Rabi,171992,210505,Rice,Winter,325501,794541,Wheat,Rabi,90522,224042
2806,Razia Sultana,5317689794,male,Central Bank of India,Odisha,GANJAM,Aska H.O,761110,InstantGlobalPaytechPrivateLimited,"Handloom,Cashew,Granite Slab",Ganjam%Odisha,Rice,Winter,Winter,715000,761110,Maize,Winter,1,4.6,Wheat,Rabi,90522,224042
2807,Pritam Dutta,1577353989,male,Indian Bank,Uttar Pradesh,ALIGARH,Digsari BO,202123,INTERACT SOCIAL DEVELOPMENT FOUNDATION,"Lock & Hardware,Metal Handicraft",Aligarh%Uttar Pradesh,Wheat,Rabi,Rabi,546558,202123,Rice,Winter,325501,794541,Wheat,Rabi,90522,224042
2808,Utpalendu Adhikari,6439999083,male,Indian Overseas Bank,Odisha,GANJAM,Badaborasingi B.O,761124,IPS E-Services Pvt Ltd,"Handloom,Cashew,Granite Slab",Ganjam%Odisha,Rice,Winter,Winter,715000,761124,Maize,Winter,1,4.6,Wheat,Rabi,90522,224042
2809,Md Huzaifa Rahman,2326162498,male,Punjab and Sind Bank,Uttar Pradesh,ALIGARH,Ahraula BO,202135,IRIX Technology Pvt Ltd,"Lock & Hardware,Metal Handicraft",Aligarh%Uttar Pradesh,Wheat,Rabi,Rabi,546558,202135,Rice,Winter,325501,794541,Wheat,Rabi,90522,224042
2810,Shubham Garg,8902050803,female,Jammu & Kashmir Bank,Jammu and Kashmir,UDHAMPUR,BANDHOLE BO,182161,iServeU,Garlic,Udhampur%Jammu & Kashmir,Maize,Kharif,Kharif,55768,182161,Other Cereals & Millets,Kharif,1,0.4,Wheat,Rabi,90522,224042
2811,Km Sweta   Soni,7398464941,male,State Bank of India,Odisha,GANJAM,B.Karadabadi B.O,761143,ISERVEU TECHNOLOGY PVT LTD,"Handloom,Cashew,Granite Slab",Ganjam%Odisha,Rice,Winter,Winter,715000,761143,Maize,Winter,1,4.6,Wheat,Rabi,90522,224042
2812,Sandeep kuber Bhalshankar,9865686152,male,Jammu & Kashmir Bank,Jammu and Kashmir,DODA,Bhalla BO,182221,Issac Technologies Pvt Ltd,Natural Oils (Lavender),Doda%Jammu & Kashmir,Maize,Kharif,Kharif,28397,182221,Rice,Winter,325501,794541,Wheat,Rabi,90522,224042
2813,Sudip   Banerjee,8964299098,male,Union Bank of India,Odisha,GAJAPATI,Ajayagada B.O,761207,JAGARAN MICROFIN PRIVATE LIMITED,"Cashew Carnel,Granite Slab,Turmeric Oil",Gajapati%Odisha,Rice,Winter,Winter,55000,761207,Ragi,Winter,11,8.1,Wheat,Rabi,90522,224042
2814,Md  Alimuddin,6204875807,female,Jammu & Kashmir Bank,Jammu and Kashmir,PULWAMA,Aripal BO,192123,JAKKUR TECHNOPARKS PRIVATE LIMITED,Saffron,Pulwama%Jammu & Kashmir,Rice,Kharif,Kharif,6603,192123,Rice,Winter,325501,794541,Wheat,Rabi,90522,224042
2815,Rohan   Mazumder,5328282248,male,Bandhan Bank,Uttar Pradesh,GAUTAM BUDDHA NAGAR,Alpha Greater Noida SO,201310,JANAKALYAN FINANCIAL SERVICES PRIVATE LIMITED,Readymade Garments,Gautam Buddh Nagar%Uttar Pradesh,Wheat,Rabi,Rabi,85909,201310,Rice,Winter,325501,794541,Wheat,Rabi,90522,224042
2816,Shiek Arsath,8890663546,male,City Union Bank,Odisha,GANJAM,A.K.Deuli B.O,761111,JARVI AUTO LINK,"Handloom,Cashew,Granite Slab",Ganjam%Odisha,Rice,Winter,Winter,715000,761111,Maize,Winter,1,4.6,Wheat,Rabi,90522,224042
2817,Ramasree    A,8998901544,male,DCB Bank,Uttar Pradesh,ALIGARH,Bhaiyan BO,202124,JC Ventures,"Lock & Hardware,Metal Handicraft",Aligarh%Uttar Pradesh,Wheat,Rabi,Rabi,546558,202124,Rice,Winter,325501,794541,Wheat,Rabi,90522,224042
2818,Nikhil omprakash Chaurasia,8507478635,female,Dhanlaxmi Bank,Odisha,GANJAM,Badakodanda S.O,761125,Joshi Biztech,"Handloom,Cashew,Granite Slab",Ganjam%Odisha,Rice,Winter,Winter,715000,761125,Maize,Winter,1,4.6,Wheat,Rabi,90522,224042
2819,Snehal sunil Mayekar,4468641615,male,Federal Bank,Uttar Pradesh,ALIGARH,Gabhana SO,202136,JOTHI CREDITS AND FINANCIAL SERVICES PRIVATE LIMITED,"Lock & Hardware,Metal Handicraft",Aligarh%Uttar Pradesh,Wheat,Rabi,Rabi,546558,202136,Rice,Winter,325501,794541,Wheat,Rabi,90522,224042
2820,Aadarsh   Pranjal,3560966357,male,Jammu & Kashmir Bank,Jammu and Kashmir,DODA,Bhalla BO,182201,K H T AGENCIES PVT LTD,Natural Oils (Lavender),Doda%Jammu & Kashmir,Maize,Kharif,Kharif,28397,182201,Rice,Winter,325501,794541,Wheat,Rabi,90522,224042
2821,Rohit   Maheshwari,4070277955,male,ICICI Bank,Odisha,GANJAM,Adapada B.O,761144,Kaabil Finance pvt. ltd,"Handloom,Cashew,Granite Slab",Ganjam%Odisha,Rice,Winter,Winter,715000,761144,Maize,Winter,1,4.6,Wheat,Rabi,90522,224042
2822,Abhimanu,8865776024,male,Jammu & Kashmir Bank,Jammu and Kashmir,DODA,Bhaderwah SO,182222,Kaleidofin Private Limited,Natural Oils (Lavender),Doda%Jammu & Kashmir,Maize,Kharif,Kharif,28397,182222,Rice,Winter,325501,794541,Wheat,Rabi,90522,224042
2823,Bhograj,2549843684,male,IDFC FIRST Bank,Odisha,GAJAPATI,Bapenbadi B.O,761208,Kalyan Rural Empowerment Development,"Cashew Carnel,Granite Slab,Turmeric Oil",Gajapati%Odisha,Rice,Winter,Winter,55000,761208,Ragi,Winter,11,8.1,Wheat,Rabi,90522,224042
2824,Imran,8380687558,female,Jammu & Kashmir Bank,Jammu and Kashmir,ANANTHNAG,Arwani BO,192124,KAMAL Fincap Private Limited,Trout Fish,Anantnag%Jammu & Kashmir,Rice,Kharif,Kharif,19403,192124,Maize,Kharif,11761,13768,Dry chillies,Kharif,113,17.8
2825,Rachamalla Suresh,3733415768,male,Kotak Mahindra Bank,Uttar Pradesh,GAUTAM BUDDHA NAGAR,Container Depot SO,201311,KANHA INFOTECH AND INFRASTRUCTURE,Readymade Garments,Gautam Buddh Nagar%Uttar Pradesh,Wheat,Rabi,Rabi,85909,201311,Rice,Winter,325501,794541,Wheat,Rabi,90522,224042
2826,Avneesh Kumar Dubey,2500572156,female,IDBI Bank,Uttar Pradesh,HAMIRPUR,Artara BO,210507,KAPOOR DIESELS GARAGE PRIVATE LIMITED,"Agro-products processing,Shoes",Hamirpur%Himachal Pradesh,Wheat,Rabi,Rabi,171992,210507,Rice,Winter,325501,794541,Wheat,Rabi,90522,224042
2827,Anuj  Mishra,9807343140,female,RBL Bank,Odisha,GANJAM,Badula B.O,761114,KEY TECHNOLOGIES,"Handloom,Cashew,Granite Slab",Ganjam%Odisha,Rice,Winter,Winter,715000,761114,Maize,Winter,1,4.6,Wheat,Rabi,90522,224042
2828,Siddharth  Awasthi,3240403250,female,YES Bank,Uttar Pradesh,ALIGARH,Barotha BO,202125,KIARA MICROCREDIT PRIVATE LIMITED,"Lock & Hardware,Metal Handicraft",Aligarh%Uttar Pradesh,Wheat,Rabi,Rabi,546558,202125,Rice,Winter,325501,794541,Wheat,Rabi,90522,224042
2829,Ramkrishna Nagnath Bodke,9051802206,male,Bank of Baroda,Odisha,GANJAM,Bhanjamargo S.O,761126,KOTTAKOTA BUSINESS DEVELOPMENT PRIVATE LIMITED,"Handloom,Cashew,Granite Slab",Ganjam%Odisha,Rice,Winter,Winter,715000,761126,Maize,Winter,1,4.6,Wheat,Rabi,90522,224042
2830,Dhananjay  Kumar,2518487971,female,Bank of India,Uttar Pradesh,ALIGARH,Bajauta BO,202137,KT Telematic Solutions Pvt Ltd,"Lock & Hardware,Metal Handicraft",Aligarh%Uttar Pradesh,Wheat,Rabi,Rabi,546558,202137,Rice,Winter,325501,794541,Wheat,Rabi,90522,224042
2831,Mohammad Azhar,3910942020,female,Jammu & Kashmir Bank,Jammu and Kashmir,DODA,Bajarni BO,182202,Lahanti Last Mile Services Pvt. Ltd,Natural Oils (Lavender),Doda%Jammu & Kashmir,Maize,Kharif,Kharif,28397,182202,Rice,Winter,325501,794541,Wheat,Rabi,90522,224042
2832,Fariha Yasmin,8923755007,male,Canara Bank,Odisha,GANJAM,Burupada S.O,761146,LALIT MOHAN SINGH,"Handloom,Cashew,Granite Slab",Ganjam%Odisha,Rice,Winter,Winter,715000,761146,Maize,Winter,1,4.6,Wheat,Rabi,90522,224042
