S.No,Name of BC,Contact Number,Gender,State,District ,Office Name,Pincode,Corporate BC name,ODOP product,CODE WORD OF PRODUCT LIST,CROP1 NAME,CROP1 SEASON,CROP1 PRODUCTION
2444,Nisha Gajanan Thotange,3849438814,female,Himachal Pradesh,LAHUL  SPITI,Chimrat BO,175142,Navnit Chetana Mandal (NCM),Processing of seabuckthorn (Charma),Lahaul & Spiti%Himachal Pradesh,Rice,Rabi,15516
2445,Umesh Sahebrav Bondre,2277481135,female,Himachal Pradesh,KANGRA,Beh BO,177105,Nearby Technologies Pvt Ltd,"Tea - Kangra,Paintings- Kangra",Kangra%Himachal Pradesh,Rice,Rabi,15516
2446,Shubham Bhagawan Bhuibhar,5313275169,female,Bihar,MUZAFFARPUR,Ababakarpur BO,844112,Neo Leaf  M/s BRICK EAGLE AFFORDABLE HOUSING FINANCE LIMITED,"Shahi Litchi,Sujini Embroidery,Bags & Garments",Muzaffarpur%Bihar,Rice,Winter,215461
2447,Anil Mohan Chavhan,5138836880,female,Himachal Pradesh,KANGRA,Balol BO,176037,New Opportunity Consultancy Private Limited,"Tea - Kangra,Paintings- Kangra",Kangra%Himachal Pradesh,Rice,Rabi,15516
2448,Prathmesh Santosh Mote,7601873427,male,Himachal Pradesh,UNA,Ambota SO,177205,Next Vision,Light Engineering Industry,Una%Himachal Pradesh,Rice,Rabi,15516
2449,Aarti Sinha,7022296691,male,Punjab,ROPAR,I I T ROPAR,140001,NextRu Livelihoods Private Limited,"Kinnow,Honey,Potato,Maize",Rupnagar%Punjab,Rice,Rabi,15516
2450,Kavita Tomeshwar Buddhe,9698201191,male,Jharkhand,KHUNTI,Bikwadag BO,835234,Nextzen FI-Tech Privaye Ltd,Lac,Khunti%Jharkhand,Rice,Rabi,15516
2451,Sachin Trivedi,6933226041,female,Punjab,MOGA,Bukan Wala BO,142048,NICT Technologies Pvt Ltd,Agriculture Implements,Moga%Punjab,Rice,Kharif,815000
2452,Satyam Srivastava,6337912484,male,Bihar,SARAN,Cheful BO,841209,Nineroot technologies,Tomato,Saran%Bihar,Wheat,Rabi,170369
2453,Ishant Kumar Mishra,6594837471,female,Bihar,SIWAN,Barhani Bazar BO,841227,Non Corporate Bc,Mentha,Siwan%Bihar,Wheat,Rabi,171367
2454,Vishal Srivastava,2998044136,male,Himachal Pradesh,SOLAN,Nauni SO,173230,Novopay,Mushrooms,Solan%Himachal Pradesh,Rice,Rabi,15516
2455,Piyush Agarwal,6527389665,female,Bihar,SARAN,Bellour BO,841410,Novopay Solutions Private Limited,Tomato,Saran%Bihar,Wheat,Rabi,170369
2456,Deepak Radheshyam Joshi,5300140489,female,Himachal Pradesh,UNA,Badoli BO,174302,Oasys Cybernectics Pvt Ltd,Light Engineering Industry,Una%Himachal Pradesh,Rice,Rabi,15516
2457,Shivani Randhir Deshmukh,1872222149,female,Himachal Pradesh,KANGRA,Barram Khurd BO,176097,OASYS ONE STOP SOLUTION PRIVATE LIMITED,"Tea - Kangra,Paintings- Kangra",Kangra%Himachal Pradesh,Rice,Rabi,15516
2458,Akhilesh Shukla,2677290984,female,Himachal Pradesh,BILASPUR HP,Bhulswai BO,174026,ODISHA LIVELIHOODS MISSION NRUM,"Black Rice,Processing of Indian Gooseberry (Amla)",Bilaspur%Himachal Pradesh,Rice,Kharif,456491
2459,Abhishek Umar,9050807261,male,Himachal Pradesh,KANGRA,Badiarkhar BO,176081,ORANGE E SEVA PVT LTD,"Tea - Kangra,Paintings- Kangra",Kangra%Himachal Pradesh,Rice,Rabi,15516
2460,Rutuja Shrikant Aher,1166010966,female,Bihar,MUZAFFARPUR,Aura BO,843131,ORIEL FINANCIAL SOLUTION PVT LTD,"Shahi Litchi,Sujini Embroidery,Bags & Garments",Muzaffarpur%Bihar,Rice,Winter,215461
2461,Bijumani Talukdar,7239363026,male,Himachal Pradesh,MANDI,Aut SO,175121,ORIGO FINANCE PRIVATE LIMITED,Steel Furniture,Mandi%Himachal Pradesh,Rice,Rabi,15516
2462,Tushar Arun Jadhav,8406835432,female,Himachal Pradesh,HAMIRPURHP,Bafrin BO,177029,Orocorp Technologies Private Limited,"Agro-products processing,Shoes",Hamirpur%Himachal Pradesh,Rice,Rabi,15516
2463,Ramesh Patil,2323566598,male,Bihar,SITAMARHI,Bakhari BO,843325,Osiris Infotech Pvt. Ltd,"Sikki Art,Applique Work,Litchi",Sitamarhi%Bihar,Wheat,Rabi,76764
2464,Dinabandhu Behera,3762340761,female,Himachal Pradesh,KULLU,Jagatsukh SO,175143,Oswal Computers and Consultants Pvt Ltd,Shawl - Kullu,Kullu%Himachal Pradesh,Rice,Rabi,15516
2465,Zikra Parween,8423505345,male,Himachal Pradesh,KANGRA,Dadasiba SO,177106,Oxigen,"Tea - Kangra,Paintings- Kangra",Kangra%Himachal Pradesh,Rice,Rabi,15516
2466,Gopalprasad Ramshiromani Sharma,8149593047,female,Bihar,VAISHALI,Amritpur BO,844113,OXIGEN SERVICES INDIA PVT LTD,"Sujni Embroidery,Banana,Honey",Vaishali%Bihar,Wheat,Rabi,93816
2467,Pandya Vivekkumar Rohitbhai,9405940392,female,Himachal Pradesh,KANGRA,Daulatpur SO Kangra,176038,P2P MICROFINANCE AND ALLIED SERVIC,"Tea - Kangra,Paintings- Kangra",Kangra%Himachal Pradesh,Rice,Rabi,15516
2468,Kumari Divya,8574750673,male,Himachal Pradesh,UNA,Kuthera Jaswalan BO,177206,PAFT Finance Ltd,Light Engineering Industry,Una%Himachal Pradesh,Rice,Rabi,15516
2469,Rohini Ratnakar Warghat,2371487981,male,Punjab,MOHALI,Bhamnara BO,140101,PAFT Inclusive Financial Services Pvt. Ltd.,"Engineering Goods,Sculptures,Pharmaceuticals/ Medical Equipment",Sahibzada Ajit Singh Nagar/ Mohali%Punjab,Rice,Rabi,15516
2470,Minakshi,6302354630,male,Jharkhand,SIMDEGA,Deobahar BO,835235,Pahal Financial Services Pvt. Ltd,Minor Forest Produce,Simdega%Jharkhand,Rice,Rabi,15516
2471,Nilmani,7797501932,male,Punjab,MOGA,Guru Teg Bahadur Garh SO,142049,PAISALO DIGITAL LIMITED,Agriculture Implements,Moga%Punjab,Rice,Kharif,815000
2472,Vasudha Agrawal,3031558148,female,Bihar,SIWAN,Bhagar BO,841210,PANKAJ JHA,Mentha,Siwan%Bihar,Wheat,Rabi,171367
2473,Rajat Raj Gupta,7589639528,male,Bihar,SIWAN,Andar SO,841231,PANOBIZ BUSINESS TECHNOLOGIES PVT LTD.,Mentha,Siwan%Bihar,Wheat,Rabi,171367
2474,Alak Kumar,9336954093,female,Himachal Pradesh,SOLAN,Badhaunighat BO,173233,PARAM PEOPLE INFOTECH SOLUTIONS PVT LTD,Mushrooms,Solan%Himachal Pradesh,Rice,Rabi,15516
2475,Suman,7833533818,male,Bihar,SARAN,Agauthar Nanda BO,841411,PARIBARTAN,Tomato,Saran%Bihar,Wheat,Rabi,170369
2476,Ganesh Sharma,5040272882,female,Himachal Pradesh,UNA,Badsala BO,174303,PARIN TEX,Light Engineering Industry,Una%Himachal Pradesh,Rice,Rabi,15516
2477,Ambika,9748742699,female,Himachal Pradesh,KANGRA,Balahra BO,176098,Parviom Technologies Private Limited,"Tea - Kangra,Paintings- Kangra",Kangra%Himachal Pradesh,Rice,Rabi,15516
2478,Sanam Deep Singh Sidhu,4933011695,female,Bihar,SARAN,Gheghta BO,841302,PAY POINT INDIA NETWORK PVT LTD,Tomato,Saran%Bihar,Wheat,Rabi,170369
2479,Kirti Verma,8003647582,female,Himachal Pradesh,BILASPUR HP,Barota BO,174027,Payin Solution Pvt Ltd,"Black Rice,Processing of Indian Gooseberry (Amla)",Bilaspur%Himachal Pradesh,Rice,Kharif,456491
2480,Lakhveer Singh,2105705369,female,Himachal Pradesh,KANGRA,Alampur SO Kangra,176082,Payone,"Tea - Kangra,Paintings- Kangra",Kangra%Himachal Pradesh,Rice,Rabi,15516
2481,Anjali Khandelwal,2444836134,female,Bihar,SITAMARHI,Shaktipith Chandidham SO,843301,Paypoint,"Sikki Art,Applique Work,Litchi",Sitamarhi%Bihar,Wheat,Rabi,76764
2482,Birju Kumar,7386505546,male,Himachal Pradesh,MANDI,Bandhi BO,175124,PAYTEL FINANCIAL TECHNOLOGIES PVT LTD,Steel Furniture,Mandi%Himachal Pradesh,Rice,Rabi,15516
2483,Aman Dhuriya,5833671543,female,Himachal Pradesh,UNA,Chulhari BO,177031,Paythrough,Light Engineering Industry,Una%Himachal Pradesh,Rice,Rabi,15516
2484,Garima Bansal,8003019663,male,Bihar,SITAMARHI,Balasath BO,843326,PAYTHROUGH SOFTWARES,"Sikki Art,Applique Work,Litchi",Sitamarhi%Bihar,Wheat,Rabi,76764
2485,Sabu Khan,8746884865,male,Himachal Pradesh,KANGRA,Boharkawaloo BO,176001,PayTM Payment Bank Ltd.,"Tea - Kangra,Paintings- Kangra",Kangra%Himachal Pradesh,Rice,Rabi,15516
2486,Roshni Shanmughan,3379684596,female,Himachal Pradesh,KANGRA,Lag Baliana BO,177107,Peoples Forum,"Tea - Kangra,Paintings- Kangra",Kangra%Himachal Pradesh,Rice,Rabi,15516
2487,Sunder Acharya,2767273678,male,Bihar,VAISHALI,Asoi BO,844114,Phoenix Mills Limited,"Sujni Embroidery,Banana,Honey",Vaishali%Bihar,Wheat,Rabi,93816
2488,Chhavi Bhardwaj,3178847057,male,Himachal Pradesh,HAMIRPURHP,Chakmoh SO,176039,PLADA INFOTECH SERVICES PVT LTD,"Agro-products processing,Shoes",Hamirpur%Himachal Pradesh,Rice,Rabi,15516
2489,Satnam Singh Mahinder Singh Gulwani,9538510209,male,Himachal Pradesh,UNA,Ispur BO,177207,POONAM KHANDELWAL,Light Engineering Industry,Una%Himachal Pradesh,Rice,Rabi,15516
2490,Mohammad Haider Sayyed,7478632242,male,Punjab,MOHALI,Barsalpur BO,140102,PRADAKSHANA FINTECH PVT. LTD.,"Engineering Goods,Sculptures,Pharmaceuticals/ Medical Equipment",Sahibzada Ajit Singh Nagar/ Mohali%Punjab,Rice,Rabi,15516
2491,Chandrashekhar,1221487494,male,Jharkhand,RANCHI,Balsota BO,835301,PRASAD PRADEEPRAO PANDHARPURKAR,Ready Made Garments,Ranchi%Jharkhand,Rice,Rabi,15516
2492,Chetna Mathur,4086012163,female,Punjab,FIROZPUR,Dhanna Shahid BO,142050,Progrow Farm and Rural Mission Pvt Ltd,"Basmati (Rice),Chillies",Ferozepur%Punjab,Rice,Rabi,15516
2493,Pushpita Sarkar,4670897497,male,Bihar,SARAN,Chirand BO,841211,Quick Silver Connecting The Dots Services Private Limited,Tomato,Saran%Bihar,Wheat,Rabi,170369
2494,Durba Sinha,6886850255,male,Bihar,SIWAN,BAHADURPUR BAZAR BO,841232,Quicksun Technologies Pvt Ltd,Mentha,Siwan%Bihar,Wheat,Rabi,171367
2495,Gurudevi Lingad,9131668528,female,Himachal Pradesh,SOLAN,Anji Brahamna BO,173234,RADHE SHYAM SOLUTION,Mushrooms,Solan%Himachal Pradesh,Rice,Rabi,15516
2496,Rathod Bhavesh Chhaganbhai,1451081151,female,Bihar,SARAN,Ashok Nagar BO,841412,RADIAN FINSERVE PVT LTD,Tomato,Saran%Bihar,Wheat,Rabi,170369
2497,Mohit Sisodiya,6360213936,female,Himachal Pradesh,HAMIRPURHP,Bani SO HamirpurHP,174304,RAJARAJESHWARA ENTERPRISES,"Agro-products processing,Shoes",Hamirpur%Himachal Pradesh,Rice,Rabi,15516
2498,Murali Kadakol,3897643638,female,Himachal Pradesh,KANGRA,Bhadrol BO,176101,RajCOMP Info Services Limited EMITRA,"Tea - Kangra,Paintings- Kangra",Kangra%Himachal Pradesh,Rice,Rabi,15516
2499,Vadke Rajesh,8677657653,female,Bihar,SARAN,Brahampur BO,841305,RAJESH KUMAR,Tomato,Saran%Bihar,Wheat,Rabi,170369
2500,Pratiksha Tiwari,6712142866,male,Himachal Pradesh,BILASPUR HP,Bhatwara BO,174028,Rajinder,"Black Rice,Processing of Indian Gooseberry (Amla)",Bilaspur%Himachal Pradesh,Rice,Kharif,456491
2501,W Ashick,7597746408,male,Himachal Pradesh,KANGRA,Atiala Dai BO,176083,RAJVIR SINGH,"Tea - Kangra,Paintings- Kangra",Kangra%Himachal Pradesh,Rice,Rabi,15516
2502,Ragupathi P,1729317238,female,Bihar,SITAMARHI,Amghatta BO,843302,RAM INFO LIMITED,"Sikki Art,Applique Work,Litchi",Sitamarhi%Bihar,Wheat,Rabi,76764
2503,Mukeshkumar,1142583534,male,Himachal Pradesh,KULLU,Bajaura BO,175125,RAPIPAYFINTECHPVTLTD,Shawl - Kullu,Kullu%Himachal Pradesh,Rice,Rabi,15516
2504,Desai Kajal,2252739278,male,Himachal Pradesh,HAMIRPURHP,Bela BO,177033,RBL FINSERVE LIMITED,"Agro-products processing,Shoes",Hamirpur%Himachal Pradesh,Rice,Rabi,15516
2505,Swathy T Nair,6147256757,male,Bihar,SITAMARHI,Babhangama BO,843327,Red Craft Events,"Sikki Art,Applique Work,Litchi",Sitamarhi%Bihar,Wheat,Rabi,76764
2506,Ritu Ashok Yadav,3975994062,male,Himachal Pradesh,KANGRA,Tanda SO,176002,Redmil Business Mall Private Limited,"Tea - Kangra,Paintings- Kangra",Kangra%Himachal Pradesh,Rice,Rabi,15516
2507,Shabeen Banu M,1258391419,male,Himachal Pradesh,KANGRA,Garli SO,177108,Relisec Consultancy Services Pvt. Ltd,"Tea - Kangra,Paintings- Kangra",Kangra%Himachal Pradesh,Rice,Rabi,15516
2508,Shahina,7892069621,male,Bihar,VAISHALI,Bishanpur Said Urf Bakarpur BO,844115,Ritman Technologies Private limited,"Sujni Embroidery,Banana,Honey",Vaishali%Bihar,Wheat,Rabi,93816
2509,Rekha Devi,7269003815,male,Himachal Pradesh,HAMIRPURHP,Balh Bihal BO,176040,RIYA ENTERPRISES,"Agro-products processing,Shoes",Hamirpur%Himachal Pradesh,Rice,Rabi,15516
2510,Mrintanjay Bajpai,8639740979,male,Himachal Pradesh,UNA,Guglehar BO,177208,RNET ENTERPRISES,Light Engineering Industry,Una%Himachal Pradesh,Rice,Rabi,15516
2511,Puneet Srivastava,8298029635,male,Jammu and Kashmir,JAMMU,New University Campus SO,180006,RNFI SERVICES PVT LTD,Basmati Rice,Jammu%Jammu & Kashmir,Rice,Kharif,116969
2512,Sudheer Kumar,5908755915,female,Bihar,GOPALGANJ,Belsand BO,841413,Roinet Solutions Pvt Ltd.,"Sugarcane,Turmeric",Gopalganj%Bihar,Wheat,Rabi,71480
2513,Prabhakar Kumar,5124367847,male,Himachal Pradesh,HAMIRPURHP,Baliah Khurd BO,174305,Rootreforms Intiative (OPC) Pvt. Ltd.,"Agro-products processing,Shoes",Hamirpur%Himachal Pradesh,Rice,Rabi,15516
2514,Pravin Devidas Nagare,3829159982,female,Himachal Pradesh,KANGRA,Arla BO,176102,Rupeek Fintech Private Limited,"Tea - Kangra,Paintings- Kangra",Kangra%Himachal Pradesh,Rice,Rabi,15516
2515,Shalini Yadav,4501010009,male,Bihar,GOPALGANJ,Ahiyapur BO,841426,Ruptok Fintech Private Limited,"Sugarcane,Turmeric",Gopalganj%Bihar,Wheat,Rabi,71480
2516,Barkha Sharma,7967083261,male,Himachal Pradesh,UNA,Talmehra SO,174320,S V Creditline Limited,Light Engineering Industry,Una%Himachal Pradesh,Rice,Rabi,15516
2517,Nishi Jain,5495073908,male,Himachal Pradesh,KANGRA,Chowki BO,176203,S2 Preya Investment Services Pvt Ltd,"Tea - Kangra,Paintings- Kangra",Kangra%Himachal Pradesh,Rice,Rabi,15516
2518,Manish Mithailal Vishwakarma,1205651434,female,Bihar,SARAN,Gaura SO Saran,841443,SAGGRAHA MANAGEMENT SERVICES PVT LTD,Tomato,Saran%Bihar,Wheat,Rabi,170369
2519,Jitendra Kumar Ramprasad Gupta,7689143549,female,Himachal Pradesh,MANDI,Gopalpur SO Mandi,175007,Sahaj e- Village Limited.,Steel Furniture,Mandi%Himachal Pradesh,Rice,Rabi,15516
2520,Shraddha Chandrakant Pujare,7994678230,male,Himachal Pradesh,KANGRA,Dal Lake BO,176216,SAHAJ RETAIL LIMITED,"Tea - Kangra,Paintings- Kangra",Kangra%Himachal Pradesh,Rice,Rabi,15516
2521,Ruchi Thakre,2308286472,male,Jammu and Kashmir,JAMMU,Janipur High Court SO,180007,SAHAJ RURAL DEVELOPMENT FOUNDATION,Basmati Rice,Jammu%Jammu & Kashmir,Rice,Kharif,116969
2522,Abhishek Kannaujiya,7792315090,male,Bihar,SARAN,Afaur BO,841414,SAKSHAM GRAM CREDIT PRIVATE LIMITED,Tomato,Saran%Bihar,Wheat,Rabi,170369
2523,S Amsa Veni,4213988469,male,Himachal Pradesh,UNA,Badehar BO,174306,SALMA TABASSUM,Light Engineering Industry,Una%Himachal Pradesh,Rice,Rabi,15516
2524,Madhuri Pradhan Bhanushali,2244533087,male,Himachal Pradesh,KANGRA,Andreta BO,176103,Samaaru Finance Private Limited,"Tea - Kangra,Paintings- Kangra",Kangra%Himachal Pradesh,Rice,Rabi,15516
2525,Judge Singh,4329226628,male,Bihar,GOPALGANJ,Bhaisahi BO,841427,Samavesh Finserve Pvt. Ltd.,"Sugarcane,Turmeric",Gopalganj%Bihar,Wheat,Rabi,71480
2526,Jitendra Singh,7525036081,female,Himachal Pradesh,UNA,Balh BO,174321,SAMGRAH TECH PRIVATE LIMITED,Light Engineering Industry,Una%Himachal Pradesh,Rice,Rabi,15516
2527,Mer Chetankumar Gordhanbhai,4665121006,male,Himachal Pradesh,KANGRA,Attarah BO,176204,Samhita Community Development Services,"Tea - Kangra,Paintings- Kangra",Kangra%Himachal Pradesh,Rice,Rabi,15516
2528,Neha Satish Mahamuni,2788906591,male,Bihar,SIWAN,Gaziapur BO,841446,Samparna Business Correspondence Private Limited,Mentha,Siwan%Bihar,Wheat,Rabi,171367
2529,Avinash Jatav,3415557868,female,Himachal Pradesh,MANDI,Balt BO,175008,Sampurna Financial Services Limited,Steel Furniture,Mandi%Himachal Pradesh,Rice,Rabi,15516
2530,Mohammad Abid,2032643858,male,Himachal Pradesh,KANGRA,Ansuhi BO,176217,SAMVRIDDHI INCLUSIVE GROWTH NETWORK,"Tea - Kangra,Paintings- Kangra",Kangra%Himachal Pradesh,Rice,Rabi,15516
2531,Sachin Kumar Sharma,6966193601,female,Jammu and Kashmir,JAMMU,SKUASTCHATHA SO,180009,SANJEEV SHARMA,Basmati Rice,Jammu%Jammu & Kashmir,Rice,Kharif,116969
2532,Dhiraj Sahebrao Chopde,4933329747,male,Bihar,SARAN,Bhualpur BO,841415,SANJIVANI VIKASFOUNDATION BIHAR,Tomato,Saran%Bihar,Wheat,Rabi,170369
2533,Anuj Rawat,8418142753,male,Himachal Pradesh,UNA,Arlu BO,174307,Santosh Finlease Pvt. Ltd.,Light Engineering Industry,Una%Himachal Pradesh,Rice,Rabi,15516
2534,Vishwajeet Singh,4168240334,male,Himachal Pradesh,KANGRA,Bachhwai BO,176107,Saral Technology Services Pvt Ltd,"Tea - Kangra,Paintings- Kangra",Kangra%Himachal Pradesh,Rice,Rabi,15516
2535,Gitesh Bhardwaj,4344146450,female,Bihar,GOPALGANJ,Amwa Nakchhed BO,841428,Sarala Development & Microfinance Pvt. Ltd,"Sugarcane,Turmeric",Gopalganj%Bihar,Wheat,Rabi,71480
2536,Rijvan Ali,5275053407,male,Himachal Pradesh,HAMIRPURHP,Gahli Kohlwin BO,174405,Saraswat Infotech Private Limited,"Agro-products processing,Shoes",Hamirpur%Himachal Pradesh,Rice,Rabi,15516
2537,Nitin Ramesh Girkar,6461734062,female,Himachal Pradesh,KANGRA,Bahi Pathiar BO,176205,SARDAR EXIM,"Tea - Kangra,Paintings- Kangra",Kangra%Himachal Pradesh,Rice,Rabi,15516
2538,Saket Kumar Sonu,7867935017,female,Bihar,SARAN,Bhatha Sonho SO,841460,SARTHAK SEWA PRIVATE LIMITED,Tomato,Saran%Bihar,Wheat,Rabi,170369
2539,Jitendra Singh Kushwah,1803418237,female,Himachal Pradesh,MANDI,Alsindi BO,175009,Sarvagram Fincare Private Limited,Steel Furniture,Mandi%Himachal Pradesh,Rice,Rabi,15516
2540,Ramasubramanian S,9521346088,female,Himachal Pradesh,KANGRA,Khaniara SO,176218,Sarvagram Solutions Private Limited,"Tea - Kangra,Paintings- Kangra",Kangra%Himachal Pradesh,Rice,Rabi,15516
2541,Km   Jyoti,1018265768,male,Himachal Pradesh,MANDI,Balag BO,175038,BLAZE TRUST,Steel Furniture,Mandi%Himachal Pradesh,Rice,Rabi,15516
2542,Karan Singh Rathour,2727286197,male,Jammu and Kashmir,JAMMU,Gangyal SO,180010,SARVODAYA INFOTECH PRIVATE LIMITED,Basmati Rice,Jammu%Jammu & Kashmir,Rice,Kharif,116969
2543,Ajay Kumar Janghel,5924358454,female,Bihar,SIWAN,Chimanpura BO,841416,Satin Finserv Limited,Mentha,Siwan%Bihar,Wheat,Rabi,171367
2544,Manisha Sardar,1702965038,female,Himachal Pradesh,UNA,Budhan BO,174308,SATYA PRAKASH KUMAWAT,Light Engineering Industry,Una%Himachal Pradesh,Rice,Rabi,15516
2545,G. Priyadharshini,9355882996,male,Himachal Pradesh,HAMIRPURHP,Bhaleth SO,176108,SAVE SOLUTIONS PRIVATE LIMITED,"Agro-products processing,Shoes",Hamirpur%Himachal Pradesh,Rice,Rabi,15516
2546,Deepak Kumar Srivastava,4538755035,male,Bihar,SIWAN,Bhithi BO,841434,SEC2PAY INDIA E-SERVICES PRIVATE LIMITED,Mentha,Siwan%Bihar,Wheat,Rabi,171367
2547,Harshit Mishra,5205999297,female,Himachal Pradesh,UNA,Kuthar Beet BO,174503,Secure 365,Light Engineering Industry,Una%Himachal Pradesh,Rice,Rabi,15516
2548,Umesh Kumar,8583686009,male,Himachal Pradesh,KANGRA,Bhalli BO,176206,Share Microfin Limited,"Tea - Kangra,Paintings- Kangra",Kangra%Himachal Pradesh,Rice,Rabi,15516
2549,Lalita,3648342772,female,Bihar,GOPALGANJ,Baliwan sagar BO,841501,SHREE PADM ENTERPRISE PVT LTD,"Sugarcane,Turmeric",Gopalganj%Bihar,Wheat,Rabi,71480
2550,Tushar Ashok Badhan,1760372244,male,Himachal Pradesh,MANDI,Balindi BO,175010,shree plan your journey pvt ltd,Steel Furniture,Mandi%Himachal Pradesh,Rice,Rabi,15516
2551,Rohit Verma,6484492953,female,Himachal Pradesh,KANGRA,Bhagsu Nath BO,176219,SHREE VENKATESH ENTERPRISES,"Tea - Kangra,Paintings- Kangra",Kangra%Himachal Pradesh,Rice,Rabi,15516
2552,Suraj Mishra,7273883310,male,Jammu and Kashmir,JAMMU,Chowadi BO,180011,Shri Ram Prasad Singh Social Foundation,Basmati Rice,Jammu%Jammu & Kashmir,Rice,Kharif,116969
2553,Yash Vyas,8580518544,male,Bihar,SARAN,Arna BO,841417,Shrinithi Capital Pvt. Ltd.,Tomato,Saran%Bihar,Wheat,Rabi,170369
2554,Nagender Kumar,7333634350,male,Himachal Pradesh,HAMIRPURHP,Bahina SO,174309,Shrisha Financial Services Pvt Ltd,"Agro-products processing,Shoes",Hamirpur%Himachal Pradesh,Rice,Rabi,15516
2555,Satpal Singh,5993862253,female,Himachal Pradesh,HAMIRPURHP,Jangal Beri SO,176109,SIF Access Private Limited,"Agro-products processing,Shoes",Hamirpur%Himachal Pradesh,Rice,Rabi,15516
2556,Sahil,9808227225,female,Bihar,SIWAN,Balua BO,841435,Silver Touch technlogies Ltd,Mentha,Siwan%Bihar,Wheat,Rabi,171367
2557,Zahid Siddiqui,1279695133,male,Himachal Pradesh,HAMIRPURHP,Changar BO,174505,Simplified Financial Solutions Pvt Ltd,"Agro-products processing,Shoes",Hamirpur%Himachal Pradesh,Rice,Rabi,15516
2558,Farjan Ahemmad,2995486330,male,Himachal Pradesh,CHAMBA,Bilana BO,176207,SKULLCASE LIFESTYLE INDIA LLP,Chamba Rumal,Chamba%Himachal Pradesh,Rice,Kharif,802349
2559,Bhagyshri Shivlingayya Puranik,6498792854,male,Bihar,SIWAN,Khujhwa SO,841502,SM COMUNICATIONS,Mentha,Siwan%Bihar,Wheat,Rabi,171367
2560,Priyanka Ramesh Mondkar,5045045606,male,Himachal Pradesh,MANDI,Bakhrot BO,175011,Smart Chip Pvt. Ltd.,Steel Furniture,Mandi%Himachal Pradesh,Rice,Rabi,15516
2561,B Harshavardhan,3498415617,female,Himachal Pradesh,KANGRA,Bagga BO,176225,SOCIAL EDUCATION ECONOMICAL DEVELOP,"Tea - Kangra,Paintings- Kangra",Kangra%Himachal Pradesh,Rice,Rabi,15516
2562,Divya Choudhary,2017991956,female,Jammu and Kashmir,JAMMU,Meghdoot Bhawan,180012,SOFTECH EDUCATIONAL AND CHARITABALE TRUST,Basmati Rice,Jammu%Jammu & Kashmir,Rice,Kharif,116969
2563,Mrinmayee Dey,5008004495,male,Bihar,SARAN,Marhowrah HO,841418,SOFTMINT DIGITAL SERVICES PRIVATE LIMITED,Tomato,Saran%Bihar,Wheat,Rabi,170369
2564,Santoshi Surendra Dhangar,5575535739,female,Himachal Pradesh,BILASPUR HP,Janali BO,174310,Sollet Soft Solutions Pvt Ltd.,"Black Rice,Processing of Indian Gooseberry (Amla)",Bilaspur%Himachal Pradesh,Rice,Kharif,456491
2565,Gajanan Ganesh Vanjari,9643220276,male,Himachal Pradesh,HAMIRPURHP,Bir Bagehra BO,176110,Sonata Finance Private Limited (SFPL),"Agro-products processing,Shoes",Hamirpur%Himachal Pradesh,Rice,Rabi,15516
2566,Utkarsha Harishchandra Mane,4122073661,male,Bihar,GOPALGANJ,Aghaila BO,841436,SOUTH INDIA FINVEST PVT LTD,"Sugarcane,Turmeric",Gopalganj%Bihar,Wheat,Rabi,71480
2567,Yogesh Kumar Patel,3195260418,female,Himachal Pradesh,UNA,Bathri BO,174507,Sparrow Softech Private Limited,Light Engineering Industry,Una%Himachal Pradesh,Rice,Rabi,15516
2568,Rasika Jaywant Mestry,3271331314,female,Himachal Pradesh,KANGRA,Bajrehar BO,176208,Spay Technology Pvt Ltd,"Tea - Kangra,Paintings- Kangra",Kangra%Himachal Pradesh,Rice,Rabi,15516
2569,Jyoti Arun Sharma,3995481019,male,Bihar,GOPALGANJ,Balthra BO,841503,Spice Digital,"Sugarcane,Turmeric",Gopalganj%Bihar,Wheat,Rabi,71480
2570,Kanchan Sarvjeet Prajapati,1383870760,male,Himachal Pradesh,MANDI,Balh BO,175012,Spice Money Limited,Steel Furniture,Mandi%Himachal Pradesh,Rice,Rabi,15516
2571,Biplab Roy,8762869920,female,Himachal Pradesh,CHAMBA,Bakloh SO,176301,SRINIVAS TRADERS,Chamba Rumal,Chamba%Himachal Pradesh,Rice,Kharif,802349
2572,Diwakar Kharvar,5956878288,female,Jammu and Kashmir,JAMMU,Roopnagar Jammu Tawi SO,180013,SRPS Fintech Private Limited,Basmati Rice,Jammu%Jammu & Kashmir,Rice,Kharif,116969
2573,Sidhant Kumar Sahoo,2310498448,male,Bihar,SARAN,Atta BO,841419,SRUSTI BC,Tomato,Saran%Bihar,Wheat,Rabi,170369
2574,Farzan Mansuri,3345460975,female,Himachal Pradesh,HAMIRPURHP,Karer BO,174311,SS Inclusive Development Finance Pvt Ltd,"Agro-products processing,Shoes",Hamirpur%Himachal Pradesh,Rice,Rabi,15516
2575,Rajput Anjali,1077110083,female,Himachal Pradesh,HAMIRPURHP,Chamiana BO,176111,Star Solution,"Agro-products processing,Shoes",Hamirpur%Himachal Pradesh,Rice,Rabi,15516
2576,Ashmit Singh,6475340008,female,Bihar,GOPALGANJ,Belhi Khas BO,841437,STARFIN INDIA PRIVATE LIMITED,"Sugarcane,Turmeric",Gopalganj%Bihar,Wheat,Rabi,71480
